,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
228,ts17156,Arrested Development,SHOW,2003,TV-MA,28,comedy,US,5.0,tt0367279,8.7,300445.0,30.131,8.043
229,ts22011,Heartland,SHOW,2007,TV-PG,44,drama,CA,15.0,tt1094229,8.4,16337.0,74.638,8.3
230,ts26091,The Staircase,SHOW,2004,TV-MA,49,crime,FR,2.0,tt8178674,7.8,21531.0,10.922,7.7
232,ts22337,NCIS,SHOW,2003,TV-14,43,action,US,20.0,tt0364845,7.8,143846.0,251.622,7.6
233,ts3371,Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,animation,US,3.0,tt0417299,9.3,303666.0,56.915,8.7
235,ts20604,Friday Night Lights,SHOW,2006,TV-14,43,sport,US,5.0,tt0758745,8.7,65199.0,19.681,8.1
236,ts20573,The IT Crowd,SHOW,2006,TV-14,25,comedy,GB,5.0,tt0487831,8.5,149586.0,31.031,8.108
238,ts22099,The Spectacular Spider-Man,SHOW,2008,TV-Y7,22,action,US,2.0,tt0976192,8.3,14996.0,41.509,8.705
240,ts21464,Zoey 101,SHOW,2005,TV-G,25,romance,US,4.0,tt0415463,6.1,15808.0,53.044,8.2
243,ts11313,DEATH NOTE,SHOW,2006,TV-14,24,thriller,JP,1.0,tt0877057,9.0,309445.0,120.545,8.664
244,ts21247,The Vampire Diaries,SHOW,2009,TV-14,42,drama,US,8.0,tt1405406,7.7,314422.0,479.354,8.348
245,ts20305,Naruto,SHOW,2002,TV-PG,23,action,JP,6.0,tt0409591,8.4,96729.0,218.843,8.363
248,ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,fantasy,US,9.0,tt1751105,7.6,20910.0,52.369,8.1
250,ts17942,Chappelle's Show,SHOW,2003,TV-14,21,comedy,US,3.0,tt0353049,8.8,63107.0,14.116,8.1
254,ts30311,Victorious,SHOW,2010,TV-G,25,sport,US,4.0,tt1604099,6.9,24838.0,71.494,8.221
259,ts22267,Trailer Park Boys,SHOW,2001,TV-MA,25,crime,CA,12.0,tt0290988,8.6,42733.0,22.603,8.0
261,ts2230,America's Next Top Model,SHOW,2003,TV-14,44,reality,US,24.0,tt0363307,5.6,17905.0,14.501,5.3
268,ts19036,The Fairly OddParents,SHOW,2001,TV-Y7,23,family,CA,10.0,tt0235918,7.2,38046.0,67.192,7.7
271,ts22456,Ned's Declassified School Survival Guide,SHOW,2004,TV-G,25,family,US,3.0,tt0405576,7.4,17864.0,33.115,8.6
277,ts22018,iCarly,SHOW,2007,TV-G,26,comedy,US,6.0,tt0972534,6.7,38877.0,100.996,8.0
284,ts21197,Merlin,SHOW,2008,TV-PG,44,european,GB,5.0,tt1199099,7.9,80927.0,74.931,7.9
285,ts21544,Transformers: Prime,SHOW,2010,TV-Y7,22,scifi,US,4.0,tt1659175,7.9,6636.0,28.925,8.0
287,ts31263,The Mole,SHOW,2001,TV-14,47,reality,BE,5.0,tt0270792,7.6,1155.0,2.189,7.8
288,ts30313,Offspring,SHOW,2010,Not Available,44,drama,AU,7.0,tt1530541,8.3,4880.0,10.243,7.0
290,ts12787,Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,drama,JP,3.0,tt0994314,8.7,62367.0,35.011,8.493
301,ts35155,Gurren Lagann,SHOW,2007,TV-14,24,comedy,JP,1.0,tt0948103,8.3,17024.0,27.924,8.2
303,ts15986,Dead Set,SHOW,2008,TV-MA,141,reality,GB,1.0,tt1285482,7.6,19812.0,9.68,7.3
305,ts22318,Winx Club,SHOW,2004,TV-G,23,animation,IT,8.0,tt7396266,6.2,6700.0,25.633,8.222
308,ts30356,Octonauts,SHOW,2010,TV-Y,15,comedy,GB,7.0,tt1710177,7.6,1083.0,40.327,7.4
309,ts32186,Sonic X,SHOW,2003,TV-Y7,21,drama,JP,3.0,tt0367413,6.2,4709.0,37.945,7.5
318,ts21706,H2O: Just Add Water,SHOW,2006,TV-PG,25,family,AU,3.0,tt0491603,7.2,15179.0,30.832,7.8
320,ts24028,Still Game,SHOW,2002,TV-14,29,comedy,GB,9.0,tt0281491,8.9,7689.0,5.128,8.3
324,ts21740,Black Butler,SHOW,2008,TV-MA,25,horror,JP,3.0,tt1316554,8.2,1877.0,36.122,7.5
329,ts687,The 4400,SHOW,2004,TV-14,44,thriller,US,4.0,tt0389564,7.3,45249.0,37.169,7.2
331,ts31514,Strawberry Shortcake,SHOW,2003,TV-Y,23,animation,US,4.0,tt1190823,7.0,13.0,31.584,6.9
332,ts33559,Shaun the Sheep,SHOW,2007,TV-G,7,comedy,GB,6.0,tt0983983,8.1,28.0,31.375,7.9
334,ts26322,Toradora!,SHOW,2008,TV-14,30,comedy,JP,2.0,tt1279024,8.0,14828.0,24.352,8.5
335,ts12815,Big Time Rush,SHOW,2009,TV-G,25,family,US,4.0,tt1131746,6.3,12288.0,55.706,8.774
