,person_id,id,name,character,role,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
34,38704,ts23753,Nicole Dubuc,Robin Cooper MacGillis,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
35,97165,ts23753,Chelsea Hertford,Casey Cooper MacGillis,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
36,43162,ts987,David Jason,Danger Mouse / Narrator (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
37,99172,ts987,Terry Scott,Penfold (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
38,18355,ts987,Edward Kelsey,Colonel K / Baron Greenback (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
39,99173,ts987,Brian Trueman,Stiletto (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
40,114128,ts2760,Steven Kynman,Sam / Elvis / Norman / Derek / Charlie / Jerry Lee (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
41,114126,ts2760,David Carling,Station Officer Steele / Chief Fire Officer Boyce / Trevor / Tom / Mike (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
42,114127,ts2760,Su Douglas,Dilys / Mandy / Helen / Lily (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
43,114129,ts2760,Tegwen Tucker,Penny / Sarah / Bronwyn / Mrs. Chen (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
44,730639,ts2760,Harriet Kershaw,Ellie / Bella (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
45,52151,ts2760,Alex Lowe,Ben / Joe (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
46,87165,ts2760,Jo Wyatt,Hannah / Lizzie (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
47,104901,ts2760,Ifan Huw Dafydd,Gareth (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
48,285010,ts2760,John Hasler,James / Professor Pickles (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
49,70378,ts2760,Nigel Whitmey,Moose (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
50,277353,ts2760,Gary Andrews,Not Available,DIRECTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
51,115048,ts63001,Wayne Rogers,Not Available,ACTOR,High Risk,SHOW,1988,TV-PG,50,comedy,US,1.0,tt5944220,3.8,6.0,1.4,7.548055213358182
52,91091,ts20981,Jeff Probst,Himself - Host,ACTOR,Survivor,SHOW,2000,TV-PG,48,reality,US,42.0,tt0239195,7.4,24687.0,54.19,7.4
53,12786,ts22176,Ben Browder,Cameron Mitchell,ACTOR,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,CA,10.0,tt0118480,8.4,90196.0,88.851,8.3
54,48256,ts22176,Amanda Tapping,Samantha Carter,ACTOR,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,CA,10.0,tt0118480,8.4,90196.0,88.851,8.3
55,48258,ts22176,Christopher Judge,Teal'c,ACTOR,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,CA,10.0,tt0118480,8.4,90196.0,88.851,8.3
56,21477,ts22176,Michael Shanks,Daniel Jackson,ACTOR,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,CA,10.0,tt0118480,8.4,90196.0,88.851,8.3
57,36606,ts22176,Claudia Black,Vala Mal Doran,ACTOR,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,CA,10.0,tt0118480,8.4,90196.0,88.851,8.3
58,12421,ts22176,Beau Bridges,Hank Landry,ACTOR,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,CA,10.0,tt0118480,8.4,90196.0,88.851,8.3
59,28162,ts21223,Rica Matsumoto,Satoshi (voice),ACTOR,Pokémon,SHOW,1997,TV-Y7,22,scifi,JP,25.0,tt14053732,7.4,198.0,115.356,7.633
60,28164,ts21223,Ikue Otani,Pikachu (voice),ACTOR,Pokémon,SHOW,1997,TV-Y7,22,scifi,JP,25.0,tt14053732,7.4,198.0,115.356,7.633
61,96460,ts21223,Daiki Yamashita,Gou (voice),ACTOR,Pokémon,SHOW,1997,TV-Y7,22,scifi,JP,25.0,tt14053732,7.4,198.0,115.356,7.633
62,45308,ts21223,Kenyu Horiuchi,Narrator (voice),ACTOR,Pokémon,SHOW,1997,TV-Y7,22,scifi,JP,25.0,tt14053732,7.4,198.0,115.356,7.633
63,22308,ts20339,Mayumi Tanaka,Monkey D. Luffy (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
64,36373,ts20339,Kazuya Nakai,Roronoa Zoro (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
65,58214,ts20339,Akemi Okamura,Nami (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
66,58215,ts20339,Kappei Yamaguchi,Usopp (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
67,60138,ts20339,Hiroaki Hirata,Vinsmoke Sanji (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
