,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1113,tm1036195,Condom Lead,MOVIE,2013,Not Available,15,drama,PS,,,,1.4,
1114,tm681614,Grandmother's Farm,MOVIE,2013,Not Available,71,comedy,Not Available,tt10033686,2.9,78.0,,
1116,tm242276,Na Bangaaru Talli,MOVIE,2014,Not Available,116,family,IN,tt2404605,7.2,160.0,0.921,7.0
1117,tm159701,Wyatt Cenac: Brooklyn,MOVIE,2014,Not Available,67,comedy,US,tt4286560,6.3,231.0,1.806,6.2
1118,tm177376,Todd Glass Talks About Stuff,MOVIE,2013,Not Available,46,comedy,US,,,,1.801,
1119,tm150962,Mumbai Delhi Mumbai,MOVIE,2014,PG,120,romance,IN,tt4045666,5.7,357.0,1.4,6.3
1127,tm232579,Hunt for the Wilderpeople,MOVIE,2016,PG-13,101,comedy,NZ,tt4698684,7.8,128676.0,11.591,7.7
1130,tm243100,Hell or High Water,MOVIE,2016,R,102,action,US,tt2582782,7.6,227350.0,28.227,7.303
1133,tm195209,Legend,MOVIE,2015,R,131,thriller,GB,tt3569230,6.9,178601.0,333.013,6.985
1134,tm239760,Blair Witch,MOVIE,2016,R,89,horror,CA,tt4426214,5.0,44716.0,19.407,5.2
1135,tm204163,War Dogs,MOVIE,2016,R,114,comedy,US,tt2005151,7.1,212032.0,32.374,6.9
1139,tm135307,Blackhat,MOVIE,2015,R,133,crime,US,tt2717822,5.4,58192.0,38.675,5.5
1140,tm205890,The Take,MOVIE,2016,R,92,drama,GB,tt2368619,6.3,43449.0,17.563,6.3
1141,tm239727,Nocturnal Animals,MOVIE,2016,R,117,thriller,US,tt4550098,7.5,264884.0,24.273,7.5
1142,tm242705,Raw,MOVIE,2016,R,99,horror,FR,tt4954522,7.0,72460.0,14.899,7.08
1143,tm138905,The Hateful Eight,MOVIE,2015,R,188,crime,US,tt3460252,7.8,570138.0,26.531,7.737
1154,tm140391,Pan,MOVIE,2015,PG,111,fantasy,US,tt3332064,5.7,63788.0,24.494,6.0
1155,tm199607,The Gift,MOVIE,2015,R,108,thriller,AU,tt4178092,7.0,155102.0,15.146,6.7
1156,tm137869,Wild Card,MOVIE,2015,R,92,drama,US,tt2231253,5.6,55605.0,66.805,5.6
1167,tm120609,"Hail, Caesar!",MOVIE,2016,PG-13,106,music,US,tt0475290,6.3,133837.0,11.125,5.9
1170,tm137693,Crimson Peak,MOVIE,2015,R,119,fantasy,US,tt2554274,6.5,146073.0,27.654,6.64
1173,tm137002,Bāhubali: The Beginning,MOVIE,2015,Not Available,158,drama,IN,tt2631186,8.0,120110.0,57.23,7.6
1175,tm206698,Ouija: Origin of Evil,MOVIE,2016,PG-13,99,horror,US,tt4361050,5.3,6.0,44.508,6.1
1178,tm139841,Sinister 2,MOVIE,2015,R,97,horror,GB,tt2752772,5.3,54305.0,34.866,5.8
1179,tm233377,The Edge of Seventeen,MOVIE,2016,R,105,comedy,US,tt1878870,7.3,124099.0,31.226,7.2
1181,tm143984,London Has Fallen,MOVIE,2016,R,99,crime,US,tt3300542,5.9,157409.0,47.627,6.145
1183,tm233425,A Silent Voice: The Movie,MOVIE,2016,PG-13,130,animation,JP,tt5323662,8.1,77667.0,162.66,8.409
1186,tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,animation,CN,tt2267968,7.1,155678.0,91.033,6.851
1187,tm239676,Hush,MOVIE,2016,R,82,horror,US,tt5022702,6.6,123667.0,20.608,6.7
1189,tm212927,Mr. Right,MOVIE,2016,R,90,action,US,tt2091935,6.3,55955.0,16.884,6.439
1190,tm194792,The Boy,MOVIE,2016,PG-13,97,thriller,US,tt3882082,6.0,90853.0,29.848,5.9
1198,tm193769,Steve Jobs,MOVIE,2015,R,125,history,GB,tt2080374,7.2,168042.0,12.847,6.8
1199,tm138297,The Conjuring 2,MOVIE,2016,R,134,thriller,US,tt3065204,7.3,264195.0,171.724,7.283
1201,tm132273,Home,MOVIE,2015,PG,94,family,US,tt2224026,6.6,101975.0,50.179,6.8
1202,tm143085,Chappie,MOVIE,2015,R,120,scifi,ZA,tt1823672,6.8,249345.0,117.369,6.8
1203,tm245271,Gantz:O,MOVIE,2016,NC-17,95,scifi,JP,tt5923962,7.1,14950.0,28.818,7.3
1205,tm135106,In a Valley of Violence,MOVIE,2016,R,104,drama,US,tt3608930,6.0,18987.0,13.597,6.1
1206,tm196296,A Monster Calls,MOVIE,2016,PG-13,108,fantasy,GB,tt3416532,7.4,87806.0,84.977,7.2
1208,tm209987,Christine,MOVIE,2016,R,123,drama,US,tt4666726,6.9,15146.0,11.1,6.8
1210,tm219233,Loving,MOVIE,2016,PG-13,123,drama,GB,tt4669986,7.0,34326.0,16.664,6.7
1212,tm199700,The Danish Girl,MOVIE,2015,R,119,drama,DE,tt0810819,7.1,183579.0,21.369,7.6
1218,tm233214,Under the Shadow,MOVIE,2016,PG-13,84,drama,QA,tt4273292,6.8,27337.0,9.878,6.5
1221,tm136483,The DUFF,MOVIE,2015,PG-13,101,romance,US,tt1666801,6.4,93675.0,26.748,6.8
1223,tm134791,Unfriended,MOVIE,2015,R,82,horror,US,tt3713166,5.5,73854.0,26.429,5.5
1224,tm221740,Closet Monster,MOVIE,2016,Not Available,90,fantasy,CA,tt3638396,7.0,8239.0,10.868,7.1
1225,tm140843,Self/less,MOVIE,2015,PG-13,118,action,US,tt2140379,6.5,98837.0,24.941,6.407
1227,tm219248,The Fundamentals of Caring,MOVIE,2016,R,97,drama,US,tt2452386,7.3,72083.0,14.985,7.326
1228,tm196125,"Hello, My Name Is Doris",MOVIE,2015,R,95,comedy,US,tt3766394,6.6,21105.0,13.528,6.4
1229,tm204035,Spectral,MOVIE,2016,PG-13,109,action,US,tt2106651,6.3,59040.0,30.663,6.43
1231,tm233521,Other People,MOVIE,2016,Not Available,97,drama,US,tt4158876,6.8,11418.0,5.903,6.4
1233,tm206512,Circle,MOVIE,2015,Not Available,87,european,US,tt3118452,6.0,52925.0,14.711,6.0
1237,tm239743,Batman: The Killing Joke,MOVIE,2016,R,76,drama,US,tt4853102,6.4,56275.0,25.747,6.615
1239,tm200126,He Never Died,MOVIE,2015,R,99,thriller,CA,tt2386404,6.3,20376.0,10.541,6.1
1240,tm208622,American Ultra,MOVIE,2015,R,96,scifi,US,tt3316948,6.1,89912.0,20.733,6.1
1243,tm244788,13th,MOVIE,2016,Not Available,100,documentation,US,tt5895028,8.2,35302.0,8.675,8.0
1246,tm139532,Before I Wake,MOVIE,2016,PG-13,97,fantasy,US,tt3174376,6.2,46334.0,99.185,6.4
1247,tm253083,Blue Jay,MOVIE,2016,Not Available,81,romance,US,tt5912454,7.2,17346.0,7.83,7.0
1249,tm136321,Advantageous,MOVIE,2015,Not Available,92,drama,US,tt3090670,6.2,5378.0,6.297,6.0
1250,tm225308,Into the Inferno,MOVIE,2016,Not Available,107,documentation,GB,tt4846318,7.2,8693.0,9.998,7.0
1252,tm238722,Collateral Beauty,MOVIE,2016,PG-13,97,romance,US,tt4682786,6.7,99712.0,25.409,7.3
1254,tm136257,Beasts of No Nation,MOVIE,2015,R,137,drama,GH,tt1365050,7.7,80750.0,10.424,7.6
1255,tm244403,ARQ,MOVIE,2016,R,88,action,US,tt5640450,6.3,39108.0,20.157,6.1
1256,tm200690,The Forest,MOVIE,2016,R,95,fantasy,US,tt3387542,4.8,42561.0,33.204,5.2
1259,tm147082,"What Happened, Miss Simone?",MOVIE,2015,Not Available,101,music,US,tt4284010,7.6,13872.0,6.186,7.5
1262,tm233465,The Bye Bye Man,MOVIE,2016,PG-13,96,thriller,US,tt4030600,4.3,23960.0,28.381,5.2
1264,tm230551,Ip Man 3,MOVIE,2015,PG-13,105,action,CN,tt2888046,7.0,54977.0,38.051,7.0
1269,tm228677,The Space Between Us,MOVIE,2016,PG-13,121,drama,CN,tt3922818,6.4,52698.0,23.219,7.1
1270,tm155102,Demonic,MOVIE,2015,R,83,thriller,US,tt1841642,5.3,14882.0,8.722,5.3
1271,tm220594,Winter on Fire: Ukraine's Fight for Freedom,MOVIE,2015,Not Available,98,documentation,UA,tt4908644,8.3,18748.0,7.755,8.0
1272,tm243121,Mascots,MOVIE,2016,Not Available,89,comedy,US,tt4936176,5.8,7430.0,8.794,5.4
1273,tm205812,The Siege of Jadotville,MOVIE,2016,Not Available,108,thriller,IE,tt3922798,7.2,39404.0,11.351,7.2
1274,tm234586,Visaranai,MOVIE,2016,PG,118,drama,IN,tt6150900,8.5,10548.0,4.442,8.0
1276,tm135543,By the Sea,MOVIE,2015,R,122,european,MT,tt3883986,5.3,20541.0,10.203,5.6
1277,tm215638,Boyka: Undisputed IV,MOVIE,2016,R,87,drama,BG,,,,145.287,7.0
1278,tm239683,Team Foxcatcher,MOVIE,2016,Not Available,91,sport,US,tt5598216,7.3,6572.0,6.08,7.1
1281,tm214825,The Ridiculous 6,MOVIE,2015,PG-13,119,western,US,tt2479478,4.8,47935.0,40.711,5.152
1282,tm242736,Bo Burnham: Make Happy,MOVIE,2016,Not Available,60,documentation,US,tt5192124,8.4,14356.0,8.245,8.2
1285,tm239707,The Do-Over,MOVIE,2016,PG-13,108,action,US,tt4769836,5.7,46260.0,11.466,5.672
1286,tm136061,Suffragette,MOVIE,2015,PG-13,106,drama,GB,tt3077214,6.9,41983.0,12.013,7.3
1287,tm239733,Headshot,MOVIE,2016,Not Available,117,drama,ID,tt5147214,6.3,14824.0,19.074,6.5
1289,tm142881,Jem and the Holograms,MOVIE,2015,PG,118,drama,US,tt3614530,4.1,7867.0,9.666,5.5
1291,tm232953,Sleight,MOVIE,2016,R,89,scifi,US,tt4573516,5.9,8644.0,5.226,5.4
1292,tm193125,Hot Girls Wanted,MOVIE,2015,Not Available,84,documentation,US,tt4382552,6.1,17557.0,37.12,5.914
1293,tm244507,The Distinguished Citizen,MOVIE,2016,Not Available,118,european,AR,tt4562518,7.5,11876.0,8.804,7.3
1294,tm134516,"Crouching Tiger, Hidden Dragon: Sword of Destiny",MOVIE,2016,PG-13,103,drama,CN,tt2652118,6.1,19500.0,21.103,6.1
1296,tm270504,Mindhorn,MOVIE,2016,R,89,comedy,GB,tt4799064,6.3,12737.0,8.406,6.1
1298,tm244880,I Am the Pretty Thing That Lives in the House,MOVIE,2016,Not Available,89,horror,US,tt5059406,4.6,14580.0,9.719,4.4
1299,tm233317,Pee-wee's Big Holiday,MOVIE,2016,PG,90,family,US,tt0837156,6.1,8064.0,10.884,6.2
1300,tm205333,You're My Boss,MOVIE,2015,Not Available,116,romance,PH,tt4489160,6.3,278.0,1.899,8.1
1302,tm233533,White Girl,MOVIE,2016,Not Available,88,horror,US,tt4129870,5.7,10646.0,17.731,5.7
1304,tm138672,Frank & Lola,MOVIE,2016,Not Available,88,crime,US,tt1290138,5.9,6083.0,10.404,5.6
1305,tm323616,The Visit,MOVIE,2015,Not Available,130,comedy,Not Available,tt15119398,,,0.6,6.0
1309,tm245378,Barry,MOVIE,2016,Not Available,104,drama,US,tt5477566,5.9,7212.0,5.957,5.8
1310,tm221225,David Brent: Life on the Road,MOVIE,2016,Not Available,96,music,GB,tt6852304,6.3,20005.0,8.871,6.135
1314,tm157283,Güeros,MOVIE,2015,Not Available,106,comedy,MX,tt3499048,7.4,4275.0,7.65,7.5
1315,tm211302,Front Cover,MOVIE,2016,Not Available,87,comedy,US,tt3185602,6.4,1059.0,3.39,6.4
1317,tm253080,Rocco,MOVIE,2016,Not Available,105,european,FR,tt5788462,5.7,3998.0,21.008,5.6
1320,tm139194,Ratchet & Clank,MOVIE,2016,PG,94,action,US,tt2865120,5.5,10919.0,22.825,5.8
1322,tm238748,The Darkness,MOVIE,2016,PG-13,92,horror,US,tt1878841,4.5,16090.0,14.347,4.8
1325,tm233544,Marco Polo: One Hundred Eyes,MOVIE,2015,Not Available,28,action,US,tt5235348,7.8,10742.0,6.475,7.3
1333,tm244134,Tramps,MOVIE,2016,Not Available,82,comedy,US,tt4991512,6.5,5605.0,8.491,6.1
1335,tm233616,LEGO Marvel Super Heroes: Avengers Reassembled!,MOVIE,2015,Not Available,22,animation,US,tt5371572,6.1,862.0,16.252,6.5
1336,tm244381,Marauders,MOVIE,2016,R,107,crime,CA,tt3963816,5.5,21929.0,17.087,5.8
1339,tm238661,Special Correspondents,MOVIE,2016,PG-13,100,comedy,US,tt4181052,5.8,24129.0,10.794,5.7
1341,tm244915,Baaghi,MOVIE,2016,Not Available,133,action,IN,tt4864932,5.3,8994.0,16.534,6.4
1343,tm219276,Tallulah,MOVIE,2016,Not Available,111,romance,US,tt1639084,6.7,20208.0,7.195,6.8
1346,tm316731,Bert Kreischer: The Machine,MOVIE,2016,Not Available,70,comedy,US,tt6545220,7.6,1555.0,2.92,7.7
1349,tm247642,Amanda Knox,MOVIE,2016,Not Available,92,european,US,tt5952332,6.9,24488.0,8.847,6.7
1350,tm240007,Sniper: Ghost Shooter,MOVIE,2016,R,100,action,US,,,,24.331,6.6
1352,tm138792,Results,MOVIE,2015,R,105,romance,US,tt3824412,5.4,7140.0,6.672,5.0
1353,tm244052,Sebastian Maniscalco: Why Would You Do That?,MOVIE,2016,Not Available,63,comedy,US,tt6295304,7.4,1100.0,2.615,7.8
1355,tm123789,The Young Messiah,MOVIE,2016,PG-13,120,fantasy,US,tt1002563,5.6,3576.0,22.159,6.3
1359,tm219173,Term Life,MOVIE,2016,R,93,action,US,tt2978102,5.5,8030.0,16.084,5.9
1360,tm208903,For the Love of Spock,MOVIE,2016,Not Available,105,documentation,CA,tt4572820,7.6,4349.0,8.63,7.5
1361,tm229542,John Mulaney: The Comeback Kid,MOVIE,2015,PG,62,comedy,US,tt5069564,7.9,8595.0,4.784,7.8
1362,tm211510,Incarnate,MOVIE,2016,PG-13,19,thriller,US,tt3216348,5.2,13090.0,14.911,5.4
1363,tm205870,Message from the King,MOVIE,2016,R,102,european,FR,tt1712192,6.4,16513.0,15.381,6.2
1365,tm238681,Kung Fu Panda: Secrets of the Scroll,MOVIE,2016,G,23,comedy,US,,,,34.3,6.8
1368,tm229140,Anthony Jeselnik: Thoughts and Prayers,MOVIE,2015,Not Available,59,comedy,US,,,,4.566,7.4
1369,tm266628,LEGO Jurassic World: The Indominus Escape,MOVIE,2016,G,24,family,US,,,,20.853,5.7
1373,tm271070,The Warriors Gate,MOVIE,2016,PG-13,108,action,CA,tt4652532,5.4,5098.0,15.133,6.7
1375,tm214085,Tig,MOVIE,2015,Not Available,95,documentation,US,tt3986532,7.4,2691.0,5.984,7.2
1379,tm218052,Drishyam,MOVIE,2015,R,163,drama,IN,tt4430212,8.2,80320.0,9.208,7.9
1380,tm248010,Taxi Driver,MOVIE,2015,Not Available,100,crime,NG,tt5112438,6.0,69.0,1.191,5.3
1382,tm267135,The Dreamseller,MOVIE,2016,Not Available,96,drama,BR,tt5496926,6.0,1468.0,11.071,6.5
1384,tm246870,Lavender,MOVIE,2016,Not Available,92,drama,CA,tt4680980,5.3,7138.0,11.319,5.7
1385,tm245235,Ali Wong: Baby Cobra,MOVIE,2016,Not Available,60,comedy,US,tt5066574,7.5,6988.0,6.367,7.3
1386,tm235405,Hyena Road,MOVIE,2015,R,120,drama,CA,tt4034452,6.5,7839.0,9.363,6.7
1387,tm218186,Septembers of Shiraz,MOVIE,2015,PG-13,110,thriller,US,tt3661298,7.9,38.0,8.065,5.7
1388,tm228242,A Very Murray Christmas,MOVIE,2015,Not Available,56,music,US,tt4537842,5.5,15455.0,9.185,5.3
1389,tm244513,Divines,MOVIE,2016,Not Available,105,drama,FR,tt4730986,7.4,9821.0,9.632,7.763
1391,tm232954,Audrie & Daisy,MOVIE,2016,Not Available,95,crime,US,tt5278460,7.2,6602.0,5.6,7.2
1395,tm239290,Always Be My Maybe,MOVIE,2016,Not Available,112,comedy,PH,tt5341036,6.6,379.0,2.434,7.3
1396,tm290444,Pandora,MOVIE,2016,R,136,drama,KR,tt6302160,6.6,7416.0,27.496,7.5
1398,tm225693,Keith Richards: Under the Influence,MOVIE,2015,PG,82,music,US,tt4900018,7.1,3383.0,5.383,6.7
1399,tm267429,"Surviving Compton: Dre, Suge and Michel'le",MOVIE,2016,Not Available,87,drama,US,tt5875282,6.5,718.0,2.138,6.1
1400,tm272413,Colin Quinn: The New York Story,MOVIE,2016,Not Available,62,comedy,US,tt6257714,6.9,1001.0,2.917,6.3
1402,tm138584,Hawaizaada,MOVIE,2015,PG,157,drama,IN,tt4338154,5.5,1942.0,3.027,6.0
1404,tm225275,Riot,MOVIE,2015,Not Available,88,action,US,tt4642044,5.1,3369.0,12.429,5.8
1407,tm209950,Kevin Hart: What Now?,MOVIE,2016,R,96,comedy,US,tt4669186,5.9,9501.0,10.176,6.5
1408,tm308241,Legends of the Hidden Temple,MOVIE,2016,PG,68,action,US,tt5333842,5.6,921.0,3.528,6.7
1410,tm213681,Veteran,MOVIE,2015,Not Available,119,crime,KR,tt4768764,7.0,6611.0,9.614,6.9
1411,tm139870,Opening Night,MOVIE,2016,Not Available,90,thriller,US,tt4156972,6.0,2662.0,7.809,5.9
1412,tm239739,Raman Raghav 2.0,MOVIE,2016,Not Available,134,drama,IN,tt5664116,7.4,14380.0,6.61,7.1
1413,tm246175,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,MOVIE,2016,Not Available,108,european,SE,tt4940370,6.3,6023.0,7.299,6.4
1415,tm195764,6 Years,MOVIE,2015,Not Available,84,romance,US,tt3799372,5.6,12441.0,7.652,5.4
1418,tm233561,Shaun the Sheep: The Farmer's Llamas,MOVIE,2015,Not Available,30,animation,GB,tt5174284,6.8,1400.0,8.513,6.6
1419,tm217939,Un + une,MOVIE,2015,Not Available,115,drama,FR,tt1918911,6.2,2336.0,4.579,5.9
1420,tm200454,Ok Kanmani,MOVIE,2015,PG,139,drama,IN,tt4271820,7.4,5877.0,4.318,6.8
1421,tm266844,True Memoirs of an International Assassin,MOVIE,2016,PG-13,98,comedy,US,tt1542768,5.9,22891.0,16.152,5.8
1423,tm300713,High & Low The Movie,MOVIE,2016,Not Available,129,action,JP,tt5659172,6.4,583.0,2.513,6.0
1425,tm240895,Strange Weather,MOVIE,2016,R,95,drama,US,tt5205210,6.0,1499.0,9.634,5.9
1427,tm275800,The Lighthouse of the Orcas,MOVIE,2016,Not Available,110,european,ES,tt4944658,6.7,3910.0,10.09,7.0
1429,tm276430,Servant Of The People 2,MOVIE,2016,Not Available,100,comedy,UA,tt6903262,6.2,417.0,6.053,6.1
1431,tm335263,Kathleen Madigan: Bothering Jesus,MOVIE,2016,R,71,comedy,XX,,,,1.646,6.6
1432,tm224377,Heneral Luna,MOVIE,2015,R,118,drama,PH,tt4944352,7.3,2132.0,3.448,7.8
1433,tm242755,Ordinary World,MOVIE,2016,Not Available,86,comedy,US,tt6102594,5.5,3106.0,5.993,6.0
1435,tm241998,Mohenjo Daro,MOVIE,2016,Not Available,155,history,IN,tt3859980,5.6,11693.0,8.73,6.5
1437,tm208628,Dil Dhadakne Do,MOVIE,2015,PG-13,170,drama,IN,tt4110568,7.0,17581.0,8.46,6.8
1440,tm242646,Toro,MOVIE,2016,R,105,crime,FR,tt4213806,5.9,3256.0,8.146,6.0
1443,tm242687,Riphagen the Untouchable,MOVIE,2016,Not Available,132,war,NL,tt4969044,7.1,7800.0,8.67,6.5
1444,tm208713,Gabbar Is Back,MOVIE,2015,PG-13,130,action,IN,tt2424988,7.1,24975.0,7.397,7.2
1445,tm220317,Demetri Martin: Live (At The Time),MOVIE,2015,Not Available,61,documentation,US,tt4512714,7.4,2207.0,2.887,7.0
1446,tm421855,4K Fireplace,MOVIE,2015,G,181,family,US,tt5275236,7.7,49.0,0.738,6.8
1448,tm267948,7 Years,MOVIE,2016,Not Available,77,european,ES,tt5517438,6.7,4961.0,6.603,6.3
1450,tm219817,Talvar,MOVIE,2015,PG,132,crime,IN,tt4934950,8.1,34943.0,9.212,7.5
1451,tm201365,Brothers,MOVIE,2015,PG-13,156,drama,IN,tt3802576,6.4,13003.0,5.554,6.6
1452,tm281182,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,MOVIE,2016,PG-13,87,comedy,US,tt6302122,7.4,2566.0,3.047,7.2
1455,tm233843,Pyaar Ka Punchnama 2,MOVIE,2015,PG-13,159,romance,IN,tt4430136,7.3,15216.0,3.924,7.0
1456,tm211461,Much Loved,MOVIE,2015,Not Available,108,drama,MA,tt4685750,6.2,2772.0,5.794,6.0
1458,tm199987,Ralphie May: Unruly,MOVIE,2015,Not Available,83,comedy,US,,,,2.349,4.9
1459,tm232710,A Second Chance,MOVIE,2015,Not Available,130,drama,PH,tt5226380,8.6,47.0,2.752,7.1
1460,tm244638,Rebirth,MOVIE,2016,Not Available,101,thriller,US,tt4902716,4.9,5290.0,8.68,4.7
1461,tm451222,Lang Tong,MOVIE,2015,Not Available,83,thriller,SG,tt6423578,4.8,337.0,3.909,4.0
1462,tm195870,Manson Family Vacation,MOVIE,2015,Not Available,85,comedy,US,tt3275216,5.8,2995.0,6.451,5.9
1464,tm221883,Gridlocked,MOVIE,2016,R,110,action,CA,tt2724532,5.8,4604.0,14.458,5.8
1466,tm239635,Jimmy Carr: Funny Business,MOVIE,2016,Not Available,62,comedy,GB,tt5222724,7.2,4356.0,5.549,6.9
1467,tm198496,Aziz Ansari: Live at Madison Square Garden,MOVIE,2015,Not Available,58,comedy,US,tt4530184,6.6,3266.0,4.73,6.7
1468,tm245102,The Next Skin,MOVIE,2016,Not Available,100,european,ES,tt4034208,6.2,1820.0,5.453,5.8
1469,tm215054,Chris Tucker: Live,MOVIE,2015,Not Available,92,documentation,US,tt4835636,6.3,1955.0,5.362,6.0
1470,tm271839,"Dana Carvey: Straight White Male, 60",MOVIE,2016,Not Available,64,comedy,US,tt6217368,6.5,1528.0,2.747,6.3
1471,tm245297,Justin Timberlake + The Tennessee Kids,MOVIE,2016,Not Available,90,music,US,tt5001772,7.6,2191.0,3.257,7.6
1472,tm266629,Russell Peters: Almost Famous,MOVIE,2016,Not Available,73,comedy,US,tt5946232,6.6,1905.0,2.156,6.6
1474,tm220473,Colin Quinn: Unconstitutional,MOVIE,2015,Not Available,55,comedy,US,tt4392266,7.1,478.0,2.333,6.9
1475,tm245148,Jim Jefferies: Freedumb,MOVIE,2016,R,86,documentation,US,tt5849950,7.7,5420.0,4.802,7.3
1476,tm274053,Asperger's Are Us,MOVIE,2016,Not Available,83,drama,US,tt4109268,6.6,737.0,2.227,5.9
1477,tm239762,Tony Robbins: I Am Not Your Guru,MOVIE,2016,Not Available,115,documentation,US,tt5151716,6.6,4391.0,6.569,6.6
1478,tm197503,Hunterrr,MOVIE,2015,R,141,romance,IN,tt4333674,7.0,6262.0,2.332,6.2
1479,tm201906,Belgica,MOVIE,2016,Not Available,127,drama,FR,tt3544218,6.7,4519.0,4.889,5.9
1481,tm233344,Kapoor & Sons,MOVIE,2016,PG-13,140,family,IN,tt4900716,7.7,26130.0,8.129,7.0
1482,tm240162,Udta Punjab,MOVIE,2016,R,148,crime,IN,tt4434004,7.7,30276.0,8.861,7.2
1483,tm211478,Tamasha,MOVIE,2015,PG,139,romance,IN,tt3148502,7.3,27331.0,6.88,6.6
1485,tm244758,Breaking the Bank,MOVIE,2016,Not Available,106,comedy,GB,tt3105662,4.8,939.0,3.056,4.5
1486,tm321189,All About Asado,MOVIE,2016,Not Available,90,documentation,AR,tt6079360,6.5,579.0,1.802,6.1
1488,tm245722,Chronically Metropolitan,MOVIE,2016,Not Available,86,drama,US,tt4460854,4.9,1525.0,3.964,5.3
1490,tm282915,Fate/Grand Order: First Order,MOVIE,2016,Not Available,72,action,JP,tt6213810,5.7,896.0,12.341,6.8
1493,tm232931,Hannibal Buress: Comedy Camisado,MOVIE,2016,R,67,comedy,US,tt5352432,6.6,1520.0,4.087,6.4
1494,tm227922,Anjelah Johnson: Not Fancy,MOVIE,2015,Not Available,63,documentation,US,tt4199110,5.7,701.0,2.405,4.8
1496,tm272854,Force 2,MOVIE,2016,PG,123,thriller,IN,tt5156746,6.2,5550.0,5.209,6.6
1497,tm233015,Fitoor,MOVIE,2016,Not Available,131,drama,IN,tt4399594,5.4,4840.0,5.517,5.8
1498,tm139590,Triumph in the Skies,MOVIE,2015,Not Available,100,drama,HK,tt1929433,4.3,377.0,1.835,4.2
1499,tm242422,In the Shadow of Iris,MOVIE,2016,Not Available,99,drama,FR,tt5598110,6.1,4275.0,8.117,5.844
1500,tm252245,The White Helmets,MOVIE,2016,Not Available,41,war,SY,,,,5.399,7.4
1501,tm193211,Mucize,MOVIE,2015,PG-13,136,documentation,TR,tt6876670,7.6,12593.0,6.24,7.2
1502,tm270555,The Ivory Game,MOVIE,2016,Not Available,112,documentation,AT,tt5952534,7.9,3243.0,3.919,7.6
1503,tm236999,Our Lovers,MOVIE,2016,Not Available,88,drama,ES,tt4631532,6.7,4228.0,17.857,7.2
1506,tm233570,Beauty and the Bestie,MOVIE,2015,Not Available,119,action,PH,tt4842270,4.6,297.0,2.213,4.8
1508,tm233023,Tom Segura: Mostly Stories,MOVIE,2016,Not Available,73,documentation,US,tt4970632,7.5,3653.0,2.89,7.1
1510,tm193388,Dhanak,MOVIE,2015,Not Available,106,comedy,IN,tt4088588,7.9,3893.0,2.918,7.5
1511,tm234466,Jonah,MOVIE,2016,PG,97,family,BR,tt7799740,5.4,230.0,3.125,6.0
1512,tm376111,Chocolate City: Vegas Strip,MOVIE,2016,PG-13,89,drama,US,tt5485482,3.7,303.0,4.126,6.5
1513,tm239769,I'll Sleep When I'm Dead,MOVIE,2016,Not Available,82,documentation,US,tt4679136,6.6,1364.0,3.096,6.5
1516,tm540757,Project Marathwada,MOVIE,2016,Not Available,110,drama,IN,tt5714802,6.5,90.0,1.147,
1517,tm207668,ABCD 2,MOVIE,2015,PG,154,music,IN,tt3679000,5.4,6424.0,4.913,5.6
1519,tm228839,Ali Baba and the 7 Dwarfs,MOVIE,2015,PG-13,114,action,TR,tt6450052,5.6,20155.0,3.728,5.2
1520,tm233366,Te3n,MOVIE,2016,PG-13,136,thriller,IN,tt4814290,7.3,12816.0,10.676,6.9
1521,tm230524,"Chatô, The King of Brazil",MOVIE,2015,Not Available,100,comedy,BR,tt6449458,5.4,19.0,2.234,5.1
1522,tm233157,The Guardian Brothers,MOVIE,2016,PG,103,comedy,CN,tt4788934,5.4,2121.0,16.724,5.8
1523,tm245042,Budhia Singh: Born to Run,MOVIE,2016,Not Available,112,sport,IN,tt5805252,7.6,1503.0,1.495,6.1
1525,tm239947,Mercy,MOVIE,2016,Not Available,82,thriller,US,tt5710042,4.1,3476.0,7.517,4.2
1526,tm315345,City of Joy,MOVIE,2016,Not Available,74,documentation,CD,tt4078252,7.5,525.0,1.239,7.5
1527,tm239774,XOXO,MOVIE,2016,Not Available,92,drama,US,tt4855748,5.3,7021.0,16.887,6.0
1528,tm270982,Layla M.,MOVIE,2016,Not Available,98,european,NL,tt5712152,6.6,1722.0,2.458,6.5
1529,tm238829,Open Season: Scared Silly,MOVIE,2015,PG,84,family,CA,,,,24.391,5.9
1530,tm233196,Jessica Darling's It List,MOVIE,2016,Not Available,79,family,US,tt5213744,5.4,994.0,9.284,6.0
1531,tm246056,Garfunkel and Oates: Trying to be Special,MOVIE,2016,Not Available,62,comedy,US,tt5602318,7.3,919.0,3.186,7.4
1532,tm311494,Slam,MOVIE,2016,Not Available,100,drama,IT,tt4379536,6.1,1329.0,11.308,5.8
1533,tm244635,The Blind Christ,MOVIE,2016,R,95,drama,CL,tt4778424,5.8,275.0,6.235,4.9
1534,tm227044,Shaandaar,MOVIE,2015,PG-13,144,comedy,IN,tt4007558,3.6,5723.0,3.961,4.9
