,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
214,tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,Not Available,118,drama,TR,,,,1.396,7.6
215,tm449775,Shikari,MOVIE,1991,Not Available,162,drama,SU,tt0170416,5.8,68.0,1.323,5.0
220,tm74402,The Mist,MOVIE,2007,R,126,scifi,US,tt0884328,7.1,305346.0,37.369,6.9
221,tm91952,Mean Girls,MOVIE,2004,PG-13,97,comedy,US,tt0377092,7.1,375975.0,57.235,7.2
226,tm111828,Catch Me If You Can,MOVIE,2002,PG-13,141,drama,US,tt0264464,8.1,952602.0,72.321,8.0
231,tm150112,Old School,MOVIE,2003,R,88,comedy,US,tt0302886,7.0,229171.0,17.131,6.577
234,tm80906,Anchorman: The Legend of Ron Burgundy,MOVIE,2004,PG-13,95,comedy,US,tt0357413,7.1,353118.0,20.606,6.7
237,tm92641,Inception,MOVIE,2010,PG-13,148,music,GB,tt1375666,8.8,2294231.0,108.284,8.4
239,tm27911,The Departed,MOVIE,2006,R,151,crime,US,tt0407887,8.5,1296244.0,33.795,8.2
241,tm88465,Insidious,MOVIE,2010,PG-13,103,horror,US,tt1591095,6.8,303820.0,99.129,6.929
242,tm172683,War of the Worlds,MOVIE,2005,PG-13,117,thriller,US,tt0407304,6.5,444229.0,36.989,6.474
246,tm42877,Wanted,MOVIE,2008,R,110,crime,DE,tt0493464,6.7,384995.0,33.101,6.5
247,tm39030,Casino Royale,MOVIE,2006,Not Available,144,action,US,tt0381061,8.0,649676.0,40.164,7.518
249,tm997728,Blade Runner: The Final Cut,MOVIE,2007,R,117,scifi,US,,,,0.055091,9.0
251,tm89677,The Terminal,MOVIE,2004,PG-13,128,drama,US,tt0362227,7.4,441752.0,21.384,7.3
252,tm78592,Michael Clayton,MOVIE,2007,R,114,crime,US,tt0465538,7.2,165109.0,16.97,6.7
253,tm105329,Road to Perdition,MOVIE,2002,R,117,crime,US,tt0257044,7.7,265216.0,18.739,7.4
255,tm139658,Big Fish,MOVIE,2003,PG-13,125,romance,US,tt0319061,8.0,437650.0,21.158,7.769
256,tm26327,The Hurt Locker,MOVIE,2008,R,131,war,US,tt0887912,7.5,446904.0,28.341,7.3
257,tm95477,Troy,MOVIE,2004,R,163,action,US,tt0332452,7.3,527447.0,48.407,7.1
258,tm154187,Sherlock Holmes,MOVIE,2009,PG-13,129,action,US,tt0988045,7.6,625708.0,43.297,7.2
260,tm133767,Love Actually,MOVIE,2003,R,135,drama,GB,tt0314331,7.6,476101.0,36.484,7.1
262,tm45454,Get Smart,MOVIE,2008,PG-13,110,comedy,US,tt0425061,6.5,216695.0,22.421,6.2
263,tm26897,Quantum of Solace,MOVIE,2008,PG-13,106,thriller,US,tt0830515,6.6,444241.0,31.298,6.304
264,tm133374,The Blind Side,MOVIE,2009,PG-13,129,drama,US,tt0878804,7.6,327675.0,63.663,7.661
265,tm195620,Apocalypse Now Redux,MOVIE,2001,R,196,thriller,US,,,,4.147341,9.8
266,tm136808,Identity,MOVIE,2003,R,90,thriller,US,tt0309698,7.3,240433.0,19.558,7.181
267,tm70807,I Am Legend,MOVIE,2007,PG-13,101,thriller,US,tt0480249,7.2,745093.0,69.139,7.192
269,tm93055,Grown Ups,MOVIE,2010,PG-13,102,european,US,tt1375670,5.9,249934.0,98.37,6.333
270,tm85811,The Girl Next Door,MOVIE,2004,Not Available,110,romance,US,tt0265208,6.7,223380.0,37.315,6.7
272,tm101914,The Fighter,MOVIE,2010,R,115,drama,US,,,,17.007,7.4
273,tm131038,Public Enemies,MOVIE,2009,R,140,history,JP,tt1152836,7.0,300773.0,85.039,6.7
274,tm58382,Not Another Teen Movie,MOVIE,2001,R,89,comedy,US,tt0277371,5.7,105352.0,36.438,5.8
275,tm35463,Blow,MOVIE,2001,R,124,drama,US,tt0221027,7.5,258431.0,24.348,7.4
276,tm30603,Hancock,MOVIE,2008,PG-13,92,drama,US,tt0448157,6.4,476593.0,121.985,6.33
278,tm20959,The Pursuit of Happyness,MOVIE,2006,PG-13,117,drama,US,tt0454921,8.0,501457.0,47.893,7.9
279,tm136308,Monster,MOVIE,2003,R,110,drama,US,tt0340855,7.3,150339.0,16.309,7.2
280,tm29737,Rambo,MOVIE,2008,R,92,thriller,DE,tt0462499,7.0,230333.0,72.224,6.6
281,tm148270,Something's Gotta Give,MOVIE,2003,PG-13,128,comedy,US,tt0337741,6.7,121364.0,14.619,6.6
282,tm89036,Harold & Kumar Go to White Castle,MOVIE,2004,R,83,comedy,US,tt0366551,7.0,194695.0,15.026,6.5
283,tm46436,Thir13en Ghosts,MOVIE,2001,R,91,horror,US,tt0245674,5.6,87083.0,50.592,6.2
286,tm150260,Cloudy with a Chance of Meatballs,MOVIE,2009,PG,90,comedy,US,tt0844471,6.9,229274.0,58.945,6.6
289,tm79895,Halloween,MOVIE,2007,R,109,horror,US,tt0373883,6.0,119606.0,38.491,6.2
